"neighborhood","property_type","units","avg_size","distance_to_public_transport","distance_to_schools","distance_to_park","recent_sale_price","year_built","crime_rate"
"Dupont Circle","Condominium",29,830,0.24,0.4,0.5,1500456,1996,6.5
"Foggy Bottom","Townhouse",12,1290,0.66,0.13,0.69,1604144,1956,8.5
"Trinidad","Condominium",3,1199,0.87,0.57,0.46,1950495,2000,23.6
"Woodley Park","Condominium",15,1656,0.51,0.54,0.96,1623238,1984,15.1
"Van Ness","Townhouse",26,1305,0.14,0.81,0.42,1454235,1989,22.4
"Logan Circle","Townhouse",13,1441,0.18,0.98,0.37,528772,1961,20
"Congress Heights","Condominium",32,1022,0.46,0.71,0.34,991144,1979,7.5
"Adams Morgan","Condominium",29,1354,0.49,0.13,0.99,1082620,2018,11.3
"Logan Circle","Single Family Home",39,1357,0.68,0.5,0.5,1726571,2004,15.3
"Brookland","Condominium",38,1004,0.56,0.64,0.24,1272832,1963,19
"Capitol Hill","Townhouse",40,889,0.87,0.76,0.4,1721177,1988,13.8
"Kingman Park","Townhouse",13,1095,0.33,0.71,0.24,1131543,2014,18.3
"Adams Morgan","Single Family Home",5,1357,0.54,0.71,0.45,1014186,2014,19.6
"Shaw","Condominium",32,1123,0.25,0.48,0.72,1525267,1960,21
"U Street Corridor","Condominium",32,1385,0.57,0.28,0.41,959308,2017,8.1
"Foggy Bottom","Townhouse",33,1697,0.71,0.65,0.72,1506684,1981,21.9
"Trinidad","Condominium",3,1210,0.28,0.45,0.75,1789758,1994,15.9
"Trinidad","Townhouse",12,1009,0.54,0.71,0.73,1908848,1978,22.5
"Shaw","Condominium",6,953,0.41,0.32,0.76,1717283,1952,21.2
"Van Ness","Condominium",8,1308,0.17,0.79,0.41,1789044,1990,19.7
"Congress Heights","Single Family Home",36,913,0.17,0.91,0.73,NA,1968,6.2
"Woodley Park","Townhouse",16,1303,0.11,0.88,0.31,682925,2005,13.1
"Mount Pleasant","Single Family Home",9,992,0.17,0.13,0.48,1427505,1985,12.3
"Congress Heights","Single Family Home",35,1104,0.45,0.86,0.61,1972574,2005,5.7
"Foggy Bottom","Single Family Home",23,1334,0.38,0.88,0.31,NA,2017,6.1
"Mount Pleasant","Condominium",20,1412,0.12,0.2,0.17,1976516,1960,17.2
"U Street Corridor","Condominium",21,1172,0.17,0.85,0.57,551335,1981,10.8
"Foggy Bottom","Townhouse",36,1330,0.45,0.75,0.62,1226903,1975,16.8
"Kingman Park","Single Family Home",22,1195,0.45,0.73,0.61,1819503,2007,6.4
"Congress Heights","Townhouse",32,1576,0.67,0.24,0.78,NA,2014,13.7
"U Street Corridor","Condominium",11,1005,0.42,0.57,0.75,585823,1982,15
"Petworth","Townhouse",28,1163,0.7,0.47,0.57,1100290,2003,14.6
"Shaw","Condominium",14,1363,0.19,0.26,0.97,1871154,1972,13.8
"Trinidad","Townhouse",5,1368,0.77,0.16,0.44,1303230,2010,13.3
"U Street Corridor","Townhouse",33,1087,0.4,0.46,0.77,566005,2013,17.4
"Foggy Bottom","Single Family Home",9,1133,0.57,0.76,0.56,NA,1985,8.5
"Deanwood","Condominium",6,1229,0.24,0.26,0.64,1904162,2020,6.4
"Kingman Park","Townhouse",23,1182,0.86,0.32,0.72,604350,1994,18.5
"Southwest Waterfront","Townhouse",18,1320,0.71,0.67,0.93,695387,2006,10
"Brookland","Townhouse",18,1316,0.58,0.26,0.18,1752230,1956,18.9
"Adams Morgan","Single Family Home",8,1117,0.23,0.9,0.58,1574290,1976,7.8
"Adams Morgan","Condominium",29,1282,0.76,0.43,0.93,847353,2020,11.3
"Kingman Park","Single Family Home",37,1427,0.25,0.47,0.82,NA,2000,22.9
"Trinidad","Condominium",24,1373,0.13,0.59,0.47,1779389,2011,14.4
"Petworth","Townhouse",40,1007,0.52,0.97,0.19,1937798,2007,8
"Capitol Hill","Single Family Home",32,1137,0.84,0.54,0.9,675149,2020,21.4
"Brookland","Condominium",30,1430,0.5,0.49,0.9,1021210,1951,14
"Foggy Bottom","Single Family Home",8,1012,0.18,0.46,0.42,NA,1981,6.6
"Southwest Waterfront","Condominium",8,1075,0.85,0.17,0.66,661721,1962,23
"Foggy Bottom","Single Family Home",10,1277,0.83,0.23,0.77,1671468,2004,20.5
"Anacostia","Single Family Home",34,1026,0.78,0.74,0.71,1609409,1997,17.9
"Columbia Heights","Condominium",15,1403,0.33,0.14,0.94,NA,1961,20.7
"Adams Morgan","Townhouse",22,851,0.5,0.87,0.34,1637303,1986,16.6
"Mount Pleasant","Condominium",26,1201,0.55,0.79,0.63,NA,1979,8.1
"Woodley Park","Townhouse",33,1253,0.89,0.79,0.41,1328313,1971,5.1
"Georgetown","Townhouse",38,1478,0.52,0.7,0.36,1875237,1984,13.7
"Mount Pleasant","Townhouse",18,990,0.46,0.9,0.7,956311,1975,24.4
"Petworth","Single Family Home",27,1344,0.4,0.75,0.34,789016,2003,22.6
"Kingman Park","Townhouse",10,1362,0.63,0.33,0.71,1659791,2001,16.3
"Shaw","Condominium",3,1135,0.63,0.81,0.53,617243,1974,11.3
"Shaw","Single Family Home",3,1271,0.14,0.16,0.48,1138678,2011,19.6
"Brookland","Townhouse",6,1498,0.8,0.42,0.48,1802693,1988,12.6
"Logan Circle","Condominium",13,1569,0.77,0.25,0.21,NA,1995,15.5
"Kingman Park","Townhouse",15,1430,0.17,0.71,0.45,703811,1963,5.7
"Adams Morgan","Single Family Home",8,1720,0.36,0.41,0.68,590941,2014,7.7
"Van Ness","Condominium",11,1089,0.59,0.89,0.62,NA,2013,12.9
"Foggy Bottom","Townhouse",5,875,0.4,0.37,0.14,997987,1985,7
"Brookland","Condominium",31,1397,0.5,0.71,0.47,1702792,1956,6.9
"Adams Morgan","Townhouse",7,922,0.21,0.71,0.74,1216577,1992,10
"Deanwood","Condominium",25,1130,0.3,0.62,0.92,782666,2010,23
"Van Ness","Townhouse",40,1158,0.23,0.69,0.73,972505,1989,20.3
"Congress Heights","Condominium",12,1374,0.7,0.49,0.37,1892056,1960,15.5
"U Street Corridor","Single Family Home",31,1102,0.64,0.49,0.48,1552582,1986,22.7
"U Street Corridor","Single Family Home",8,1224,0.5,0.21,0.96,NA,1960,6.9
"Congress Heights","Condominium",32,1558,0.23,0.67,0.49,1962755,1964,21.3
"Mount Pleasant","Single Family Home",22,1263,0.21,0.73,0.37,1823914,2006,22.7
"Woodley Park","Townhouse",21,1592,0.2,0.7,0.5,1226963,1991,22.6
"Adams Morgan","Condominium",9,1163,0.7,0.41,0.12,618985,2011,9.7
"U Street Corridor","Condominium",37,1072,0.79,0.32,0.87,NA,1979,12.5
"Southwest Waterfront","Single Family Home",10,963,0.82,0.57,0.93,946025,1977,22.3
"Capitol Hill","Single Family Home",12,1333,0.44,0.2,0.39,NA,1984,17.4
"Foggy Bottom","Single Family Home",11,1165,0.41,0.25,0.6,NA,2011,15
"Dupont Circle","Townhouse",3,872,0.6,0.7,0.34,NA,2018,5.7
"Trinidad","Condominium",28,829,0.8,0.61,0.23,1565950,1975,19.9
"Dupont Circle","Townhouse",9,1347,0.76,0.18,0.75,1586012,1989,19.1
"Woodley Park","Condominium",12,1511,0.89,0.79,0.53,810893,2016,6.6
"Foggy Bottom","Single Family Home",35,1400,0.89,0.94,0.54,1591340,1987,5.1
"Brookland","Single Family Home",24,1188,0.27,0.22,0.44,1027801,1956,18.8
"Capitol Hill","Townhouse",34,1401,0.37,0.61,0.14,1185904,1953,13.6
"Foggy Bottom","Single Family Home",27,1450,0.36,0.9,0.94,744264,1979,22.7
"Van Ness","Townhouse",35,1392,0.8,0.28,0.59,1989833,1980,18.1
"Columbia Heights","Single Family Home",34,1188,0.54,0.28,0.61,1731756,1967,17.3
"Kingman Park","Single Family Home",20,1175,0.87,0.19,0.48,1576504,1960,10.4
"Woodley Park","Single Family Home",17,1562,0.22,0.25,0.56,1714923,1958,7.7
"Anacostia","Condominium",26,1030,0.87,0.28,0.36,1446889,2020,23.1
"Congress Heights","Single Family Home",23,1107,0.4,0.85,0.58,NA,1981,9.7
"Foggy Bottom","Condominium",8,1409,0.88,0.51,0.72,1825237,1987,6.6
"Congress Heights","Townhouse",7,1428,0.84,0.28,0.86,1430364,1991,9.3
"Southwest Waterfront","Townhouse",24,1221,0.62,0.7,0.43,NA,1982,19.1
"Adams Morgan","Townhouse",39,1334,0.7,0.76,0.89,1406280,1986,18.9
"Foggy Bottom","Condominium",24,1277,0.47,0.43,0.18,921222,2012,11
"Woodley Park","Townhouse",19,1400,0.12,0.22,0.35,1588629,1963,8.6
"Trinidad","Townhouse",26,1131,0.77,0.4,0.8,671007,1959,19.1
"Adams Morgan","Condominium",26,1395,0.4,0.5,0.86,1386236,2016,16.6
"Georgetown","Townhouse",35,1243,0.64,0.34,0.22,1164385,1999,9.3
"Shaw","Condominium",40,1369,0.54,0.52,0.32,NA,2009,15.2
"Columbia Heights","Condominium",24,1302,0.67,0.96,0.97,1463525,2009,19.7
"Georgetown","Single Family Home",4,1420,0.16,0.77,0.94,1092708,1995,19
"Deanwood","Townhouse",38,1057,0.57,0.72,0.78,942648,1956,5
"Dupont Circle","Townhouse",24,1013,0.78,0.12,0.22,1043723,2015,15.2
"Shaw","Single Family Home",18,1204,0.45,0.75,0.78,652704,1953,24.9
"Southwest Waterfront","Condominium",6,1215,0.59,0.8,0.11,1547303,1983,19
"Deanwood","Condominium",7,1433,0.53,0.2,0.32,1015286,2008,22.8
"Trinidad","Condominium",23,1151,0.66,0.76,0.21,1786970,2006,5.2
"Capitol Hill","Condominium",24,1175,0.5,0.27,0.34,1409323,1973,14.7
"Foggy Bottom","Condominium",8,1016,0.32,0.32,0.43,677044,1983,11.9
"Van Ness","Condominium",35,1412,0.76,0.19,0.12,NA,1975,13.4
"Adams Morgan","Townhouse",29,1073,0.74,0.7,0.98,1480287,1987,19.9
"Foggy Bottom","Townhouse",38,1528,0.14,0.86,0.75,1996693,1967,24
"Woodley Park","Townhouse",6,1439,0.82,0.56,0.72,NA,1972,14.8
"Foggy Bottom","Single Family Home",20,918,0.42,0.57,0.38,1329409,2006,15.6
"Brookland","Townhouse",31,1451,0.1,0.49,0.49,587478,1982,12.2
"Southwest Waterfront","Townhouse",21,1247,0.19,0.9,0.75,1924163,1965,20
"Woodley Park","Single Family Home",5,1732,0.51,0.12,0.17,1058983,1974,20.9
"Dupont Circle","Townhouse",22,893,0.64,0.37,0.73,NA,1993,24.2
"Columbia Heights","Condominium",24,1050,0.21,0.9,0.57,1897991,1998,20.6
"Petworth","Condominium",8,1285,0.29,0.82,0.21,509610,1977,6.4
"Congress Heights","Single Family Home",40,1059,0.42,0.19,0.98,NA,1960,17.4
"Petworth","Condominium",28,1189,0.81,0.85,0.28,628076,1983,15
"Columbia Heights","Condominium",29,1325,0.11,0.7,0.87,881494,1982,9.7
"Columbia Heights","Townhouse",11,1091,0.84,0.89,0.17,1828333,1993,21.4
"U Street Corridor","Condominium",8,1187,0.53,0.91,0.89,1800075,1953,20.7
"Dupont Circle","Condominium",26,1219,0.68,0.8,0.12,1723375,1978,10.3
"Adams Morgan","Condominium",31,1185,0.31,0.78,0.66,1486198,1962,13.8
"Kingman Park","Condominium",13,981,0.63,0.54,0.42,1518731,1954,15.6
"Capitol Hill","Condominium",19,1217,0.81,0.49,0.81,1190242,1981,12.7
"Southwest Waterfront","Condominium",38,1205,0.23,0.72,0.44,NA,1982,5.2
"Deanwood","Single Family Home",10,1050,0.2,0.84,0.64,1794286,1995,11.9
"Deanwood","Condominium",36,1392,0.71,0.27,0.55,1197274,2004,10.8
"Mount Pleasant","Single Family Home",10,1363,0.56,0.99,0.31,NA,1951,16.6
"Woodley Park","Condominium",3,1057,0.25,0.63,0.5,1859325,1965,17.8
"Capitol Hill","Single Family Home",20,1327,0.69,0.13,0.23,1441325,1964,5.4
"Kingman Park","Townhouse",34,1190,0.14,0.81,0.36,1270821,1987,7.4
"Petworth","Single Family Home",36,968,0.78,0.88,0.58,NA,1975,22.5
"Congress Heights","Single Family Home",34,1461,0.5,0.88,0.82,1298988,2019,20.8
"Anacostia","Single Family Home",35,1312,0.73,0.15,0.6,557002,2008,10.8
"Congress Heights","Single Family Home",39,1607,0.83,0.5,0.75,1239519,1987,24.4
"Logan Circle","Townhouse",40,972,0.39,0.53,0.21,512174,1984,10.4
"Congress Heights","Single Family Home",10,1367,0.7,0.23,0.85,1659219,1985,8.7
"Anacostia","Single Family Home",12,1306,0.33,0.71,0.77,1822658,1962,23.7
"Dupont Circle","Single Family Home",24,1343,0.65,0.8,0.74,1860763,2019,16.6
"Petworth","Townhouse",25,1139,0.67,0.64,0.61,1356817,1963,20
"Anacostia","Townhouse",10,1235,0.64,0.9,0.47,910579,2016,16.1
"Woodley Park","Townhouse",27,1076,0.88,0.64,0.41,819425,2020,8.5
"Georgetown","Single Family Home",3,1012,0.35,0.94,0.84,1147327,1966,21.4
"Southwest Waterfront","Townhouse",13,1075,0.42,0.86,0.94,NA,1996,11.6
"Foggy Bottom","Condominium",5,1246,0.42,0.7,0.42,1184262,1987,14.9
"Foggy Bottom","Townhouse",33,1431,0.56,0.7,0.59,1401345,2012,22.5
"Southwest Waterfront","Condominium",16,1532,0.57,0.16,0.7,986839,1952,11.6
"Capitol Hill","Condominium",24,1440,0.63,0.77,0.43,1977869,1981,24.4
"Mount Pleasant","Condominium",23,967,0.88,0.49,0.35,1892916,1981,23.3
"Kingman Park","Condominium",31,1342,0.52,0.75,0.43,NA,1953,12
"Mount Pleasant","Condominium",6,948,0.61,0.56,0.67,1905601,1956,18.1
"Shaw","Townhouse",16,1060,0.25,0.84,0.85,NA,1963,18.3
"Logan Circle","Townhouse",26,1213,0.52,0.12,0.21,530861,1997,19
"Georgetown","Single Family Home",22,1179,0.41,0.61,0.71,1842406,2002,15.4
"Adams Morgan","Condominium",3,1272,0.24,0.1,0.22,530695,2019,15.6
"Dupont Circle","Townhouse",26,1084,0.81,0.28,0.54,552124,1994,17.4
"Dupont Circle","Townhouse",35,940,0.66,0.22,0.43,753397,1964,17
"Congress Heights","Townhouse",14,1018,0.47,0.97,0.69,875565,1982,23.8
"Adams Morgan","Condominium",5,1441,0.57,0.56,0.68,716089,1998,9.4
"Congress Heights","Townhouse",12,1150,0.1,0.52,0.95,534661,2014,9.5
"Adams Morgan","Condominium",36,1177,0.38,0.46,0.72,1087552,1957,22.6
"Logan Circle","Single Family Home",5,1150,0.6,0.98,0.59,770319,1954,22.1
"Woodley Park","Single Family Home",29,1155,0.76,0.25,0.78,739341,1961,9.2
"Adams Morgan","Single Family Home",30,1141,0.87,0.11,0.26,1188827,2012,7.8
"Columbia Heights","Condominium",21,1409,0.13,0.15,0.3,1506543,1973,21
"U Street Corridor","Single Family Home",36,897,0.15,0.97,0.12,679218,1978,10.6
"Brookland","Townhouse",13,1119,0.36,0.88,0.35,1122976,2003,20.8
"Petworth","Single Family Home",6,1336,0.29,0.77,0.26,1223391,1961,22.1
"Dupont Circle","Single Family Home",36,1268,0.52,0.26,0.82,1107491,1961,5.2
"Columbia Heights","Townhouse",35,1281,0.27,0.36,0.79,718634,2004,14.8
"Mount Pleasant","Condominium",10,1268,0.1,0.22,0.27,1299966,1983,7.7
"Woodley Park","Townhouse",9,1072,0.76,0.34,0.92,607194,1969,14.3
"Georgetown","Townhouse",30,1109,0.49,0.16,0.94,NA,2008,22.5
"Mount Pleasant","Condominium",35,1214,0.55,0.14,0.92,1261359,1977,17.8
"Logan Circle","Townhouse",39,1176,0.89,0.16,0.74,676605,1978,17.2
"Mount Pleasant","Single Family Home",20,1573,0.19,0.85,0.16,1820619,2014,6.4
"Congress Heights","Single Family Home",37,1303,0.61,0.14,0.16,1774685,2018,18.3
"Petworth","Single Family Home",19,1212,0.2,0.65,0.95,NA,1965,5.8
"Petworth","Townhouse",11,1543,0.71,0.58,0.36,600756,1953,9.5
"Adams Morgan","Townhouse",10,1168,0.24,0.3,0.43,NA,1985,22.9
"Mount Pleasant","Single Family Home",38,1220,0.74,0.51,0.31,1765277,2003,20.3
"Trinidad","Single Family Home",16,1566,0.39,0.71,0.21,1503656,1996,24.8
"Petworth","Condominium",10,1120,0.46,0.85,0.28,1708472,1957,19.1
"Woodley Park","Condominium",4,1292,0.86,0.98,0.84,1339717,2003,14.6
"Deanwood","Townhouse",34,1080,0.38,0.84,0.43,1170862,2011,5.4
"Mount Pleasant","Townhouse",10,1267,0.67,0.74,0.48,1190352,1956,15.4
"Kingman Park","Condominium",7,1423,0.69,0.73,0.26,872276,2005,17.1
"Kingman Park","Townhouse",29,1123,0.2,0.81,0.81,1711614,1993,6.1
"Woodley Park","Single Family Home",5,1093,0.39,0.73,0.54,1807329,1953,24.3
"Southwest Waterfront","Townhouse",28,1263,0.73,0.18,0.21,1454808,1965,23.7
"Dupont Circle","Townhouse",39,1210,0.38,0.79,0.13,1103237,1977,15.8
"Mount Pleasant","Condominium",6,1145,0.75,0.91,0.78,1402653,2006,20
"Columbia Heights","Townhouse",31,1366,0.24,0.16,0.92,1915975,2008,19.8
"Shaw","Single Family Home",26,1219,0.45,0.23,0.99,865955,1982,10.5
"Shaw","Condominium",16,1002,0.12,0.18,0.49,1702722,1971,9.9
"Georgetown","Townhouse",4,1066,0.13,0.78,0.44,NA,1966,14.5
"Dupont Circle","Condominium",4,1341,0.86,0.55,0.43,1951317,1992,13.2
"Capitol Hill","Single Family Home",40,1172,0.81,0.31,0.33,658348,1990,7.5
"Congress Heights","Townhouse",16,1213,0.19,0.4,0.25,1160628,1962,23.5
"Dupont Circle","Townhouse",29,1077,0.18,0.2,0.93,1502369,1995,17.4
"Congress Heights","Single Family Home",12,1080,0.13,0.37,0.93,616497,1977,5.6
"Mount Pleasant","Townhouse",21,1374,0.38,0.29,0.7,1617560,1966,20.2
"Capitol Hill","Townhouse",31,1328,0.15,0.63,0.52,1542741,1958,23.5
"Deanwood","Townhouse",32,982,0.63,0.11,0.75,1148022,1954,22.5
"Van Ness","Single Family Home",23,1304,0.43,0.25,0.13,1452440,2019,14
"Trinidad","Single Family Home",28,1431,0.21,0.56,0.11,NA,1971,24.8
"U Street Corridor","Townhouse",23,924,0.25,0.26,1,1455285,1967,8.3
"Petworth","Condominium",27,1153,0.32,0.69,0.38,1406705,2020,18.5
"Shaw","Townhouse",31,1411,0.31,0.66,0.46,1745724,1965,13.8
"Woodley Park","Townhouse",40,1328,0.69,0.14,0.7,1289335,2008,21.3
"Logan Circle","Single Family Home",11,1164,0.75,0.13,0.5,1648790,1993,7.9
"Anacostia","Condominium",31,1381,0.12,0.43,0.6,1644975,1988,7.8
"Dupont Circle","Condominium",33,1011,0.36,0.46,0.56,1527282,1965,10.3
"Trinidad","Townhouse",30,1133,0.25,0.6,0.94,1988914,2001,10.2
"Congress Heights","Single Family Home",40,1296,0.57,0.2,0.29,1260777,2010,7.6
"Adams Morgan","Single Family Home",33,1011,0.56,0.62,0.52,1760883,2005,6.9
"Mount Pleasant","Single Family Home",24,1159,0.47,0.5,0.15,NA,1974,20.2
"Congress Heights","Condominium",18,1220,0.16,0.38,0.97,1543031,2010,5.1
"Adams Morgan","Townhouse",39,1017,0.37,0.97,0.51,1053537,2015,17
"Deanwood","Single Family Home",30,1166,0.81,0.72,0.53,1688153,2007,24.9
"Foggy Bottom","Single Family Home",10,1160,0.55,0.38,0.3,1268537,1980,16.9
"Congress Heights","Townhouse",15,1281,0.79,0.16,0.31,1309027,1963,9.5
"Van Ness","Condominium",19,862,0.34,0.34,0.15,1453219,2015,22.4
"Mount Pleasant","Single Family Home",22,1531,0.24,0.17,0.3,1425896,1962,6.7
"Mount Pleasant","Townhouse",30,1307,0.69,0.7,0.7,NA,1973,16.4
"Capitol Hill","Condominium",25,1041,0.86,0.87,0.95,NA,2014,11.8
"Adams Morgan","Condominium",26,1683,0.89,0.2,0.16,1253219,1991,5
"Anacostia","Single Family Home",21,1186,0.2,0.39,0.31,1959603,1954,5.7
"Foggy Bottom","Townhouse",23,901,0.63,0.67,0.92,1961333,1965,15.1
"U Street Corridor","Single Family Home",38,1008,0.82,0.29,0.19,1636931,2008,23.4
"Adams Morgan","Condominium",15,932,0.33,0.25,0.58,1337346,1976,21.1
"Georgetown","Condominium",24,1379,0.87,0.62,0.11,1453845,1979,10.1
"Deanwood","Single Family Home",10,1246,0.73,0.97,0.6,NA,1950,9.1
"Logan Circle","Single Family Home",39,1104,0.12,0.26,0.54,1849974,2020,19.5
"Congress Heights","Single Family Home",31,1178,0.5,0.49,0.19,764524,2009,6.1
"Capitol Hill","Townhouse",34,874,0.25,0.57,0.13,1161912,1954,24.2
"Adams Morgan","Townhouse",39,1020,0.29,0.96,0.49,1533382,2000,15.8
"Anacostia","Single Family Home",38,1467,0.71,0.73,0.56,1908118,2000,16.1
"Dupont Circle","Condominium",14,955,0.52,0.7,0.61,863804,2019,21.6
"Petworth","Townhouse",33,950,0.64,0.32,0.73,1657287,1981,14.2
"U Street Corridor","Single Family Home",8,1094,0.45,0.4,0.59,618248,1970,12
"Anacostia","Single Family Home",4,1126,0.36,0.93,0.24,1583977,1954,5.3
"U Street Corridor","Townhouse",32,1018,0.7,0.82,0.65,854886,1994,13.5
"Capitol Hill","Townhouse",40,1258,0.42,0.74,0.4,1581028,2009,13
"Woodley Park","Single Family Home",36,1136,0.8,0.51,0.89,1942380,2010,7.4
"Southwest Waterfront","Condominium",12,1223,0.8,0.48,0.54,953074,2002,12.5
"Van Ness","Townhouse",40,1079,0.78,0.32,0.37,1488525,2000,21.4
"Kingman Park","Single Family Home",4,1547,0.63,0.12,0.41,NA,1993,20.6
"Trinidad","Condominium",31,760,0.25,0.35,0.54,880989,1979,12.1
"Southwest Waterfront","Condominium",12,1126,0.63,0.21,0.78,1597674,1973,18.3
"Logan Circle","Townhouse",18,711,0.33,0.98,0.15,1838780,1977,17.7
"Mount Pleasant","Townhouse",13,1442,0.75,0.52,0.53,1062232,1976,7.9
"Shaw","Townhouse",12,1216,0.72,0.64,0.73,1660536,2005,9.5
"Columbia Heights","Single Family Home",18,1421,0.37,0.46,0.28,1031446,1955,21.2
"Deanwood","Condominium",18,1538,0.41,0.13,0.24,1328115,1975,16
"Shaw","Single Family Home",8,1204,0.31,0.78,0.3,552813,1997,11.7
"Van Ness","Single Family Home",24,1397,0.23,0.9,0.1,1912543,1968,10.7
"Shaw","Single Family Home",27,1581,0.49,0.89,0.53,1616815,1979,11.4
"Logan Circle","Townhouse",11,1167,0.47,0.12,0.98,NA,1958,17.4
"Capitol Hill","Townhouse",4,919,0.12,0.71,0.24,1538783,2010,20.5
"Congress Heights","Townhouse",10,1257,0.2,0.29,0.79,1070220,1977,8.6
"Foggy Bottom","Single Family Home",4,1148,0.59,0.85,0.66,1170555,2018,8.8
"U Street Corridor","Condominium",6,1065,0.46,0.72,0.8,1828365,1980,14.5
"Adams Morgan","Condominium",14,1069,0.8,0.78,0.29,1662643,1970,24.8
"Georgetown","Condominium",37,1555,0.51,0.91,0.56,1197107,1980,5.8
"Adams Morgan","Single Family Home",24,975,0.31,0.81,0.62,564850,2018,21.3
"Columbia Heights","Condominium",21,1011,0.12,0.39,0.36,844726,2012,16.8
"Capitol Hill","Condominium",7,1126,0.15,0.57,0.42,1247165,2003,9.5
"Adams Morgan","Single Family Home",4,920,0.4,0.88,0.24,NA,1973,24.7
"Dupont Circle","Townhouse",17,992,0.71,0.31,0.4,609401,1993,18.3
"Brookland","Townhouse",30,1489,0.14,0.11,0.18,1509660,2013,6.2
"Dupont Circle","Townhouse",28,1334,0.49,0.35,0.85,NA,1969,17
"Logan Circle","Townhouse",36,1137,0.89,0.16,0.41,1725188,1971,6.4
"Trinidad","Condominium",14,1429,0.9,0.73,0.84,925146,1984,19.9
"Van Ness","Condominium",32,1152,0.41,0.99,0.76,1712933,1951,8.6
"Dupont Circle","Single Family Home",16,931,0.53,0.65,0.12,1941731,2007,23
"Anacostia","Single Family Home",30,1161,0.89,0.62,0.51,577554,2009,5.3
"Mount Pleasant","Single Family Home",11,1109,0.86,0.58,0.13,527487,2009,10.4
"Anacostia","Single Family Home",31,1628,0.58,0.12,0.59,1342929,2014,21.4
"Deanwood","Townhouse",39,1502,0.87,0.98,0.48,932374,1996,22.1
"Brookland","Single Family Home",14,1321,0.31,0.76,0.62,1383134,2008,16.6
"Columbia Heights","Condominium",13,1334,0.5,0.91,0.82,NA,1992,14
"Anacostia","Condominium",3,1138,0.55,0.49,0.96,512101,2010,21.8
"Congress Heights","Single Family Home",38,1635,0.53,0.66,0.67,1924995,2012,12.7
"Georgetown","Townhouse",37,1202,0.33,0.33,0.79,1848360,1993,22.4
"U Street Corridor","Condominium",6,1061,0.69,0.68,0.81,1277650,1957,13.1
"Adams Morgan","Single Family Home",19,834,0.66,0.12,0.15,733463,1998,20
"Shaw","Townhouse",22,1108,0.85,0.93,0.29,1452723,1971,13.9
"Brookland","Condominium",16,1191,0.78,0.26,0.31,576115,1979,9.6
"Woodley Park","Single Family Home",22,1222,0.32,0.91,0.3,747958,1957,20.5
"Georgetown","Condominium",38,1329,0.6,0.63,0.95,787326,1968,6.3
"Anacostia","Condominium",40,1145,0.81,0.22,0.33,1533395,1965,12.6
"Capitol Hill","Townhouse",25,1269,0.65,0.98,0.26,1640006,1996,14.3
"Deanwood","Condominium",11,1346,0.66,0.41,0.31,NA,1963,23.1
"Dupont Circle","Condominium",21,1153,0.27,0.38,0.9,726042,2018,18.2
"Trinidad","Single Family Home",37,1268,0.83,0.14,0.27,NA,1999,13.9
"Kingman Park","Townhouse",18,1383,0.6,0.68,0.3,999913,1961,15.8
"Georgetown","Single Family Home",28,950,0.78,0.26,0.94,NA,1981,16.1
"Trinidad","Condominium",14,1188,0.75,0.16,0.57,1513219,1974,15.4
"Logan Circle","Townhouse",27,1343,0.89,0.3,0.41,932867,1965,15.3
"Petworth","Condominium",7,1168,0.35,0.22,0.84,1677613,2012,11.1
"Adams Morgan","Condominium",7,1031,0.2,0.67,0.84,1510591,2005,13.1
"Congress Heights","Single Family Home",18,1416,0.17,0.85,0.4,945388,1997,11.1
"Southwest Waterfront","Single Family Home",22,1443,0.24,0.64,0.94,1788518,1953,23.4
"Petworth","Townhouse",14,1288,0.17,0.31,0.98,1911625,1973,24.7
"Kingman Park","Condominium",40,1369,0.86,0.53,0.9,1623912,1965,8
"Van Ness","Townhouse",23,1211,0.25,0.73,0.26,1890303,2009,18
"Shaw","Single Family Home",29,1400,0.14,0.61,0.69,973885,2014,8.1
"Woodley Park","Single Family Home",6,1411,0.73,0.74,0.83,1908724,2002,13.3
"Van Ness","Townhouse",16,1232,0.13,0.18,0.7,1995096,1959,7.4
"Columbia Heights","Single Family Home",21,1063,0.19,0.88,0.3,1400531,2003,12.5
"Congress Heights","Condominium",39,1177,0.18,0.95,0.62,1971356,1996,18.5
"Adams Morgan","Condominium",40,1361,0.17,0.84,0.54,1375202,1959,7.7
"Mount Pleasant","Townhouse",35,1469,0.9,0.22,0.73,1316303,2002,6.1
"Congress Heights","Townhouse",20,1054,0.39,0.15,0.96,1594829,2004,13.9
"Petworth","Condominium",29,1025,0.15,0.99,0.94,NA,1963,10.4
"Georgetown","Single Family Home",18,1336,0.36,0.27,0.46,NA,1955,9.3
"Trinidad","Condominium",15,1087,0.71,0.29,0.13,1186454,2018,24.9
"Van Ness","Single Family Home",34,1074,0.1,0.7,0.8,1073498,1985,20.4
"Columbia Heights","Townhouse",37,1075,0.78,0.89,0.54,NA,1996,16.4
"Dupont Circle","Condominium",38,1160,0.25,0.46,0.42,1193199,1999,5.2
"Logan Circle","Condominium",28,1291,0.52,0.95,0.53,1733367,1997,22.2
"Dupont Circle","Single Family Home",12,1396,0.77,0.31,0.24,1304881,1980,22.7
"Foggy Bottom","Condominium",36,1087,0.54,0.36,0.46,714707,1992,6.4
